#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
131,9/12/2021,2:39: 0 PM,9,13,15,0,400
132,9/12/2021,2:40: 0 PM,11,15,16,0,400
133,9/12/2021,2:41: 0 PM,9,15,17,0,400
134,9/12/2021,2:42: 0 PM,12,17,21,0,400
135,9/12/2021,2:43: 0 PM,11,13,16,0,400
136,9/12/2021,2:44: 0 PM,8,11,11,0,400
137,9/12/2021,2:45: 0 PM,8,14,16,0,400
138,9/12/2021,2:46: 0 PM,10,12,21,0,400
139,9/12/2021,2:47: 0 PM,9,13,18,0,400
140,9/12/2021,2:48: 0 PM,9,11,15,0,400
141,9/12/2021,2:49: 0 PM,10,14,17,0,400
